"Delivery Date","Hour Ending","QSE","Total Self-Arranged AS RegUp","Total Self-Arranged AS RegDown","Total Self-Arranged AS NonSpin","Total Self-Arranged AS RRS for Gen","Total Self-Arranged AS RRS for CLR","Total Self-Arranged AS RRS for NCLR"
"01/11/2021","17","QGEXA","","","0","0","0","22"
"01/11/2021","17","QGOLDN","","","","0","0","4"
"01/11/2021","17","QJUST1","","","","20","0","8"
"01/11/2021","17","QJUSTE","0","","25","25","0","7"
"01/11/2021","17","QLCRA","0","0","0","0","0","24"
"01/11/2021","17","QLUMN","0","5","0","0","0","110"
"01/11/2021","17","QNRGCI","","","","0","0","200.7"
"01/11/2021","17","QOCSQ1","","","","0","0","8.5"
"01/11/2021","17","QRAYBN","","","","0","0","12"
"01/11/2021","17","QSEMES","1","1","11","30","0","15"
"01/11/2021","17","QSHEL9","0","0","0","10","0","7"
"01/11/2021","17","QSHELL","-15","-15","-71","-138","0","0"
"01/11/2021","17","QSTEC","0","0","0",".5","0","16.9"
"01/11/2021","17","QSTEC1","","","0","0","0","2.5"
"01/11/2021","17","QSUEZ1","","","","0","0","27"
"01/11/2021","17","QTEN18","4.3","1.6","12.1","24.7","0","0"
"01/11/2021","17","QTENSK","","","","0","0","19"
"01/11/2021","17","QTETP","","","","0","0","2.6"
"01/11/2021","17","QTETP2","","","","0","0","3.8"
"01/11/2021","17","QTETP3","","","","0","0","1.6"
"01/11/2021","17","QTEXPO","","","","2","0","2"
"01/11/2021","17","QTOTL1","-1.6","-.6","-4.4","-9","0","0"
"01/11/2021","18","QAEN","23.9","7","50.9","83.2","0","20"
"01/11/2021","18","QALTRE","","","","0","0","41"
"01/11/2021","18","QBPEC7","-3.4","-1","-7.3","-14.9","0","0"
"01/11/2021","18","QBRAZO","","","","0","0","57"
"01/11/2021","18","QBTU","","","","0","0","7"
"01/11/2021","18","QCALP","-5","-5","","","",""
"01/11/2021","18","QCALP3","","","12","25","0","0"
"01/11/2021","18","QCALP6","4","4","20","25","0","0"
"01/11/2021","18","QCPSE","0","0","0","0","0","75"
"01/11/2021","18","QDIR10","0","0","0","0","0","2"
"01/11/2021","18","QDIR11","0","0","0","0","0","3"
"01/11/2021","18","QDIRE","0","0","-13","19","0","68"
"01/11/2021","18","QEAGL5","","","","0","0","8.8"
"01/11/2021","18","QEDE10","","","","0","0","25"
"01/11/2021","18","QEDE12","","","","0","0","9.4"
"01/11/2021","18","QEDES1","14","9","","12","0","55.5"
"01/11/2021","18","QEDES2","","","","0","0","5.4"
"01/11/2021","18","QEDES5","1","1","","0","0","7.3"
"01/11/2021","18","QEDES6","","","","0","0","2"
"01/11/2021","18","QEDF7","","","","0","0","5.4"
"01/11/2021","18","QEXEL1","","","","-30","0","40"
"01/11/2021","18","QFORMO","","","","0","0","1.2"
"01/11/2021","18","QFRONT","","","","0","0","3"
"01/11/2021","18","QGAR6","","","","0","0","7.8"
"01/11/2021","18","QGERD","","","","0","0","1.3"
"01/11/2021","18","QGEXA","","","0","0","0","22"
"01/11/2021","18","QGOLDN","","","","0","0","4"
"01/11/2021","18","QJUST1","","","","20","0","8"
"01/11/2021","18","QJUSTE","0","","25","25","0","7"
"01/11/2021","18","QLCRA","0","0","0","0","0","24"
"01/11/2021","18","QLUMN","0","5","0","0","0","110"
"01/11/2021","18","QNRGCI","","","","0","0","200.7"
"01/11/2021","18","QOCSQ1","","","","0","0","8.6"
"01/11/2021","18","QRAYBN","","","","0","0","12"
"01/11/2021","18","QSEMES","1","1","11","30","0","15"
"01/11/2021","18","QSHEL9","0","0","0","10","0","7"
"01/11/2021","18","QSHELL","-15","-15","-65","-138","0","0"
"01/11/2021","18","QSTEC","0","0","0",".5","0","16.3"
"01/11/2021","18","QSTEC1","0","","0","0","0","2.5"
"01/11/2021","18","QSUEZ1","","","","0","0","27"
"01/11/2021","18","QTEN18","5.4","1.5","11.6","23.7","0","0"
"01/11/2021","18","QTENSK","","","","0","0","18.5"
"01/11/2021","18","QTETP","","","","0","0","2.6"
"01/11/2021","18","QTETP2","","","","0","0","3.8"
"01/11/2021","18","QTETP3","","","","0","0","1.6"
"01/11/2021","18","QTEXPO","","","","2","0","2"
"01/11/2021","18","QTOTL1","-2","-.5","-4.3","-8.8","0","0"
"01/11/2021","19","QAEN","14.8","11.1","72.8","85.2","0","20"
"01/11/2021","19","QALTRE","","","","0","0","41"
"01/11/2021","19","QBPEC7","-2","-1.5","-10","-14.5","0","0"
"01/11/2021","19","QBRAZO","","","","0","0","57"
"01/11/2021","19","QBTU","","","","0","0","7"
"01/11/2021","19","QCALP","-5","-5","","","",""
"01/11/2021","19","QCALP3","","","12","25","0","0"
"01/11/2021","19","QCALP6","4","4","20","25","0","0"
"01/11/2021","19","QCPSE","0","0","0","0","0","75"
"01/11/2021","19","QDIR10","0","0","0","0","0","2"
"01/11/2021","19","QDIR11","0","0","0","0","0","3"
"01/11/2021","19","QDIRE","0","0","-13","19","0","73"
"01/11/2021","19","QEAGL5","","","","0","0","9.2"
"01/11/2021","19","QEDE10","","","","0","0","25.2"
"01/11/2021","19","QEDE12","","","","0","0","9.3"
"01/11/2021","19","QEDES1","14","9","","12","0","55.7"
"01/11/2021","19","QEDES2","","","","0","0","5.5"
"01/11/2021","19","QEDES5","1","1","","0","0","7.3"
"01/11/2021","19","QEDES6","","","","0","0","2"
"01/11/2021","19","QEDF7","","","","0","0","5.7"
"01/11/2021","19","QEXEL1","","","","-30","0","40"
"01/11/2021","19","QFORMO","","","","0","0","1.3"
"01/11/2021","19","QFRONT","","","","0","0","3"
"01/11/2021","19","QGAR6","","","","0","0","8"
"01/11/2021","19","QGERD","","","","0","0","3.5"
"01/11/2021","19","QGEXA","","","0","0","0","22"
"01/11/2021","19","QGOLDN","","","","0","0","4"
"01/11/2021","19","QJUST1","","","","20","0","8"
"01/11/2021","19","QJUSTE","0","","25","25","0","7"
"01/11/2021","19","QLCRA","0","0","0","0","0","24"
"01/11/2021","19","QLUMN","0","5","0","0","0","110"
"01/11/2021","19","QNRGCI","","","","0","0","200.7"
"01/11/2021","19","QOCSQ1","","","","0","0","8.8"
"01/11/2021","19","QRAYBN","","","","0","0","12"
"01/11/2021","19","QSEMES","1","1","11","30","0","15"
"01/11/2021","19","QSHEL9","0","0","0","10","0","7"
"01/11/2021","19","QSHELL","-15","-15","-65","-138","0","0"
"01/11/2021","19","QSTEC","0","0","0",".5","0","17"
"01/11/2021","19","QSTEC1","","","0","0","0","2.8"
"01/11/2021","19","QSUEZ1","","","","0","0","27"
"01/11/2021","19","QTEN18","3.1","2.3","15.9","23.1","0","0"
"01/11/2021","19","QTENSK","","","","0","0","20.2"
"01/11/2021","19","QTETP","","","","0","0","2.6"
"01/11/2021","19","QTETP2","","","","0","0","3.8"
"01/11/2021","19","QTETP3","","","","0","0","1.6"
"01/11/2021","19","QTEXPO","","","","2","0","2"
"01/11/2021","19","QTOTL1","-1.1","-.8","-5.9","-8.6","0","0"
"01/11/2021","20","QAEN","7","9.6","71.6","83.4","0","20"
"01/11/2021","20","QALTRE","","","","0","0","40"
"01/11/2021","20","QBPEC7","-.9","-1.3","-9.9","-14.4","0","0"
"01/11/2021","20","QBRAZO","","","","0","0","57"
"01/11/2021","20","QBTU","","","","0","0","7"
"01/11/2021","20","QCALP","-5","-5","","","",""
"01/11/2021","20","QCALP3","","","12","25","0","0"
"01/11/2021","20","QCALP6","4","4","20","25","0","0"
"01/11/2021","20","QCPSE","0","0","0","0","0","75"
"01/11/2021","20","QDIR10","0","0","0","0","0","2"
"01/11/2021","20","QDIR11","0","0","0","0","0","3"
"01/11/2021","20","QDIRE","0","0","-13","19","0","73"
"01/11/2021","20","QEAGL5","","","","0","0","8.8"
"01/11/2021","20","QEDE10","","","","0","0","25.3"
"01/11/2021","20","QEDE12","","","","0","0","9.4"
"01/11/2021","20","QEDES1","14","9","6","12","0","55.9"
"01/11/2021","20","QEDES2","","","","0","0","5.5"
"01/11/2021","20","QEDES5","1","1","","0","0","7.1"
"01/11/2021","20","QEDES6","","","","0","0","2"
"01/11/2021","20","QEDF7","","","","0","0","5.5"
"01/11/2021","20","QEXEL1","","","","-30","0","40"
"01/11/2021","20","QFORMO","","","","0","0","1.2"
"01/11/2021","20","QFRONT","","","","0","0","3"
"01/11/2021","20","QGAR6","","","","0","0","8"
"01/11/2021","20","QGERD","","","","0","0","3"
"01/11/2021","20","QGEXA","","","0","0","0","22"
"01/11/2021","20","QGOLDN","","","","0","0","4"
"01/11/2021","20","QJUST1","","","","20","0","8"
"01/11/2021","20","QJUSTE","0","","25","25","0","7"
"01/11/2021","20","QLCRA","0","0","0","0","0","24"
"01/11/2021","20","QLUMN","0","5","0","0","0","110"
"01/11/2021","20","QNRGCI","","","","0","0","200.7"
"01/11/2021","20","QOCSQ1","","","","0","0","8.8"
"01/11/2021","20","QRAYBN","","","","0","0","12"
"01/11/2021","20","QSEMES","1","1","11","30","0","15"
"01/11/2021","20","QSHEL9","0","0","0","10","0","7"
"01/11/2021","20","QSHELL","-15","-15","-71","-138","0","0"
"01/11/2021","20","QSTEC","0","0","0",".5","0","17"
"01/11/2021","20","QSTEC1","","","0","0","0","2.9"
"01/11/2021","20","QSUEZ1","","","","0","0","27"
"01/11/2021","20","QTEN18","1.4","2.1","15.8","23","0","0"
"01/11/2021","20","QTENSK","","","","0","0","19.4"
"01/11/2021","20","QTETP","","","","0","0","2.6"
"01/11/2021","20","QTETP2","","","","0","0","3.8"
"01/11/2021","20","QTETP3","","","","0","0","1.6"
"01/11/2021","20","QTEXPO","","","","2","0","2"
"01/11/2021","20","QTOTL1","-.5","-.8","-5.9","-8.6","0","0"
"01/11/2021","21","QAEN","7.1","10.5","70.5","81.9","0","20"
"01/11/2021","21","QALTRE","","","","0","0","40"
"01/11/2021","21","QBPEC7","-1","-1.4","-10","-14.5","0","0"
"01/11/2021","21","QBRAZO","","","","0","0","57"
"01/11/2021","21","QBTU","","","","0","0","7"
"01/11/2021","21","QCALP","-5","-5","","","",""
"01/11/2021","21","QCALP3","","","12","25","0","0"
"01/11/2021","21","QCALP6","4","4","20","25","0","0"
"01/11/2021","21","QCPSE","0","0","0","0","0","75"
"01/11/2021","21","QDIR10","0","0","0","0","0","2"
"01/11/2021","21","QDIR11","0","0","0","0","0","3"
"01/11/2021","21","QDIRE","0","0","-13","19","0","73"
"01/11/2021","21","QEAGL5","","","","0","0","8.6"
"01/11/2021","21","QEDE10","","","","0","0","25.6"
"01/11/2021","21","QEDE12","","","","0","0","9.5"
"01/11/2021","21","QEDES1","14","9","6","12","0","56.5"
"01/11/2021","21","QEDES2","","","","0","0","5.6"
"01/11/2021","21","QEDES5","1","1","","0","0","7"
"01/11/2021","21","QEDES6","","","","0","0","2.1"
"01/11/2021","21","QEDF7","","","","0","0","5.4"
"01/11/2021","21","QEXEL1","","","","-30","0","40"
"01/11/2021","21","QFORMO","","","","0","0","1.3"
"01/11/2021","21","QFRONT","","","","0","0","3"
"01/11/2021","21","QGAR6","","","","0","0","8"
"01/11/2021","21","QGERD","","","","0","0","2.3"
"01/11/2021","21","QGEXA","","","0","0","0","22"
"01/11/2021","21","QGOLDN","","","","0","0","4"
"01/11/2021","21","QJUST1","","","","20","0","8"
"01/11/2021","21","QJUSTE","0","","25","25","0","7"
"01/11/2021","21","QLCRA","0","0","0","0","0","24"
"01/11/2021","21","QLUMN","0","5","0","0","0","110"
"01/11/2021","21","QNRGCI","","","","0","0","200.7"
"01/11/2021","21","QOCSQ1","","","","0","0","8.9"
"01/11/2021","21","QRAYBN","","","","0","0","12"
"01/11/2021","21","QSEMES","1","1","11","30","0","15"
"01/11/2021","21","QSHEL9","0","0","0","10","0","7"
"01/11/2021","21","QSHELL","-15","-15","-71","-138","0","0"
"01/11/2021","21","QSTEC","0","0","0",".5","0","17.2"
"01/11/2021","21","QSTEC1","","","0","0","0","2.9"
"01/11/2021","21","QSUEZ1","","","","0","0","27"
"01/11/2021","21","QTEN18","1.5","2.2","16","23.2","0","0"
"01/11/2021","21","QTENSK","","","","0","0","21.7"
"01/11/2021","21","QTETP","","","","0","0","2.6"
"01/11/2021","21","QTETP2","","","","0","0","3.8"
"01/11/2021","21","QTETP3","","","","0","0","1.6"
"01/11/2021","21","QTEXPO","","","","2","0","2"
"01/11/2021","21","QTOTL1","-.5","-.8","-6","-8.7","0","0"
"01/11/2021","22","QAEN","7.3","12.1","70","81.3","0","20"
"01/11/2021","22","QALTRE","","","","0","0","41"
"01/11/2021","22","QBPEC7","-1","-1.7","-10.1","-14.6","0","0"
"01/11/2021","22","QBRAZO","","","","0","0","57"
"01/11/2021","22","QBTU","","","","0","0","7"
"01/11/2021","22","QCALP","-5","-5","","","",""
"01/11/2021","22","QCALP3","","","12","25","0","0"
"01/11/2021","22","QCALP6","4","4","20","25","0","0"
"01/11/2021","22","QCPSE","0","0","0","0","0","75"
"01/11/2021","22","QDIR10","0","0","0","0","0","2"
"01/11/2021","22","QDIR11","0","0","0","0","0","3"
"01/11/2021","22","QDIRE","0","0","-13","19","0","73"
"01/11/2021","22","QEAGL5","","","","0","0","8.5"
"01/11/2021","22","QEDE10","","","","0","0","26.4"
"01/11/2021","22","QEDE12","","","","0","0","9.8"
"01/11/2021","22","QEDES1","14","9","6","12","0","57.8"
"01/11/2021","22","QEDES2","","","","0","0","5.7"
"01/11/2021","22","QEDES5","1","1","","0","0","7.1"
"01/11/2021","22","QEDES6","","","","0","0","2.1"
"01/11/2021","22","QEDF7","","","","0","0","5.4"
"01/11/2021","22","QEXEL1","","","","-30","0","40"
"01/11/2021","22","QFORMO","","","","0","0","1.5"
"01/11/2021","22","QFRONT","","","","0","0","3"
"01/11/2021","22","QGAR6","","","","0","0","0"
"01/11/2021","22","QGERD","","","","0","0","1.6"
"01/11/2021","22","QGEXA","","","0","0","0","22"
"01/11/2021","22","QGOLDN","","","","0","0","4"
"01/11/2021","22","QJUST1","","","","20","0","8"
"01/11/2021","22","QJUSTE","0","","25","25","0","7"
"01/11/2021","22","QLCRA","0","0","0","0","0","24"
"01/11/2021","22","QLUMN","0","5","0","0","0","110"
"01/11/2021","22","QNRGCI","","","","0","0","200.7"
"01/11/2021","22","QOCSQ1","","","","0","0","9"
"01/11/2021","22","QRAYBN","","","","0","0","12"
"01/11/2021","22","QSEMES","1","1","11","30","0","15"
"01/11/2021","22","QSHEL9","0","0","0","10","0","7"
"01/11/2021","22","QSHELL","-15","-15","-71","-138","0","0"
"01/11/2021","22","QSTEC","0","0","0","0","0","17.3"
"01/11/2021","22","QSTEC1","","","0","0","0","2.7"
"01/11/2021","22","QSUEZ1","","","","0","0","27"
"01/11/2021","22","QTEN18","1.6","2.7","16.3","23.5","0","0"
"01/11/2021","22","QTENSK","","","","0","0","18.7"
"01/11/2021","22","QTETP","","","","0","0","2.6"
"01/11/2021","22","QTETP2","","","","0","0","3.8"
"01/11/2021","22","QTETP3","","","","0","0","1.6"
"01/11/2021","22","QTEXPO","","","","2","0","2"
"01/11/2021","22","QTOTL1","-.6","-1","-6.2","-8.9","0","0"
"01/11/2021","23","QAEN","7.5","12.9","39.7","83.7","0","20"
"01/11/2021","23","QALTRE","","","","0","0","45"
"01/11/2021","23","QBPEC7","-1.1","-1.9","-5.9","-15.6","0","0"
"01/11/2021","23","QBRAZO","","","","0","0","57"
"01/11/2021","23","QBTU","","","","0","0","7"
"01/11/2021","23","QCALP","-5","-5","","","",""
"01/11/2021","23","QCALP3","","","12","25","0","0"
"01/11/2021","23","QCALP6","4","4","20","25","0","0"
"01/11/2021","23","QCPSE","0","0","0","0","0","75"
"01/11/2021","23","QDIR10","0","0","0","0","0","2"
"01/11/2021","23","QDIR11","0","0","0","0","0","3"
"01/11/2021","23","QDIRE","0","0","-13","19","0","79"
"01/11/2021","23","QEAGL5","","","","0","0","9"
"01/11/2021","23","QEDE10","","","","0","0","29.3"
"01/11/2021","23","QEDE12","","","","0","0","10.8"
"01/11/2021","23","QEDES1","14","9","6","12","0","63.9"
"01/11/2021","23","QEDES2","","","","0","0","6.4"
"01/11/2021","23","QEDES5","1","1","","0","0","7.7"
"01/11/2021","23","QEDES6","","","","0","0","2.3"
"01/11/2021","23","QEDF7","","","","0","0","5.6"
"01/11/2021","23","QEXEL1","","","","-30","0","40"
"01/11/2021","23","QFORMO","","","","0","0","1.7"
"01/11/2021","23","QFRONT","","","","0","0","3"
"01/11/2021","23","QGAR6","","","","0","0","0"
"01/11/2021","23","QGERD","","","","0","0","3.9"
"01/11/2021","23","QGEXA","","","0","0","0","22"
"01/11/2021","23","QGOLDN","","","","0","0","5"
"01/11/2021","23","QJUST1","","","","20","0","8"
"01/11/2021","23","QJUSTE","0","","25","25","0","7"
"01/11/2021","23","QLCRA","0","0","0","0","0","24"
"01/11/2021","23","QLUMN","0","5","0","0","0","110"
"01/11/2021","23","QNRGCI","","","","0","0","200.7"
"01/11/2021","23","QOCSQ1","","","","0","0","9.9"
"01/11/2021","23","QRAYBN","","","","0","0","12"
"01/11/2021","23","QSEMES","1","1","11","30","0","15"
"01/11/2021","23","QSHEL9","0","0","0","10","0","7"
"01/11/2021","23","QSHELL","-15","-15","-71","-138","0","0"
"01/11/2021","23","QSTEC","0","0","0","0","0","18.5"
"01/11/2021","23","QSTEC1","","","0","0","0","2.7"
"01/11/2021","23","QSUEZ1","","","","0","0","27"
"01/11/2021","23","QTEN18","1.7","3","9.5","25.2","0","0"
"01/11/2021","23","QTENSK","","","","0","0","20.4"
"01/11/2021","23","QTETP","","","","0","0","2.6"
"01/11/2021","23","QTETP2","","","","0","0","3.8"
"01/11/2021","23","QTETP3","","","","0","0","1.6"
"01/11/2021","23","QTEXPO","","","","2","0","2"
"01/11/2021","23","QTOTL1","-.6","-1.1","-3.6","-9.6","0","0"
"01/11/2021","24","QAEN","7.1","12.3","39.4","82.9","0","20"
"01/11/2021","24","QALTRE","","","","0","0","47"
"01/11/2021","24","QBPEC7","-1.1","-1.9","-6.1","-16.1","0","0"
"01/11/2021","24","QBRAZO","","","","0","0","57"
"01/11/2021","24","QBTU","","","","0","0","7"
"01/11/2021","24","QCALP","-5","-5","","","",""
"01/11/2021","24","QCALP3","","","12","25","0","0"
"01/11/2021","24","QCALP6","4","4","20","25","0","0"
"01/11/2021","24","QCPSE","0","0","0","0","0","75"
"01/11/2021","24","QDIR10","0","0","0","0","0","2"
"01/11/2021","24","QDIR11","0","0","0","0","0","3"
"01/11/2021","24","QDIRE","0","0","-13","19","0","78.7"
"01/11/2021","24","QEAGL5","","","","0","0","9"
"01/11/2021","24","QEDE10","","","","0","0","31.1"
"01/11/2021","24","QEDE12","","","","0","0","11.3"
"01/11/2021","24","QEDES1","14","9","6","12","0","67"
"01/11/2021","24","QEDES2","","","","0","0","6.7"
"01/11/2021","24","QEDES5","1","1","","0","0","8"
"01/11/2021","24","QEDES6","","","","0","0","2.5"
"01/11/2021","24","QEDF7","","","","0","0","5.6"
"01/11/2021","24","QEXEL1","","","","-30","0","40"
"01/11/2021","24","QFORMO","","","","0","0","1.6"
"01/11/2021","24","QFRONT","","","","0","0","3"
"01/11/2021","24","QGAR6","","","","0","0","0"
"01/11/2021","24","QGERD","","","","0","0","2"
"01/11/2021","24","QGEXA","","","0","0","0","22"
"01/11/2021","24","QGOLDN","","","","0","0","5"
"01/11/2021","24","QJUST1","","","","20","0","8"
"01/11/2021","24","QJUSTE","0","","25","25","0","7"
"01/11/2021","24","QLCRA","0","0","0","0","0","24"
"01/11/2021","24","QLUMN","0","5","0","0","0","110"
"01/11/2021","24","QNRGCI","","","","0","0","200.7"
"01/11/2021","24","QOCSQ1","","","","0","0","10"
"01/11/2021","24","QRAYBN","","","","0","0","12"
"01/11/2021","24","QSEMES","1","1","11","30","0","15"
"01/11/2021","24","QSHEL9","0","0","0","10","0","7"
"01/11/2021","24","QSHELL","-15","-15","-71","-138","0","0"
"01/11/2021","24","QSTEC","0","0","0","0","0","18.8"
"01/11/2021","24","QSTEC1","","","0","0","0","2.4"
"01/11/2021","24","QSUEZ1","","","","0","0","27"
"01/11/2021","24","QTEN18","1.7","3","9.9","26.2","0","0"
"01/11/2021","24","QTENSK","","","","0","0","20.9"
"01/11/2021","24","QTETP","","","","0","0","2.6"
"01/11/2021","24","QTETP2","","","","0","0","3.8"
"01/11/2021","24","QTETP3","","","","0","0","1.6"
"01/11/2021","24","QTEXPO","","","","2","0","2"
"01/11/2021","24","QTOTL1","-.6","-1.1","-3.8","-10.1","0","0"
